what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069263722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069278957
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1316069281113
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069283644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069289676
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069289785
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069289863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1316069290785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069291410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069293394
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316069295707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069297129
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069297363
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069301957
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069304067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069306926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069323801
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1316069328895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069331192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069334067
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069334176
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069334255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1316069335083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069335927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069338052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069338739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069341333
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069341364
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069342927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069344286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069344286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069344411
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069351942
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1316069353427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069358786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069361677
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069361786
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069361865
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069365552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069368036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069370240
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069370271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069371880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069373130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069373130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069373240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069387256
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1316069388740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069391459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069395443
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069395568
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069395646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1316069397943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069398490
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069400709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069401615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069407709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069414428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069416381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069419037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069420116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069422038
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069422069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069423381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069424928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069432975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069440850
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069440850
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069440975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069443960
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1316069445304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069448132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069452601
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069452726
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1316069452804
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1316069454929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069455476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069457382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069458694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069467663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069468867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069470820
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069471773
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316069475539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069478148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069478148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069478554
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069488836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069491476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069493523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069494898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069494898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069494976
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069502336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069503852
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069505758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069506836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069506836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069506977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069514571
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069517352
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069520914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069521883
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069521883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069522024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069531633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069533102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069534524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1316069535462
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1316069536321
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069539415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069547571
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1316069547618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069549509
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069555243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069558790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069562118
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316069565353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069569415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069569806
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069572056
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316069574619
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1316069577306
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069579712
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316069582634
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069601572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1316069603354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069605822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069621651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1316069628807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1316069633073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1316069634604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069637042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069656542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069657948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069660120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069661605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069664745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069665605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069665605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069665745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069667370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069668855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069668870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069669011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069675214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069677136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069697871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069699480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316069707574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316070363009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316070363446
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316070365259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316070367618
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1316070367837
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316070368196
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1316070368774
